"Company Name,Job Role,Job Description"
"Persistent Systems,Senior QA Automation,""Designs, implements, and executes automation test plans for web applications using Java and Selenium. Responsible for catching bugs early, providing detailed feedback to developers, and performing extensive backend validation with advanced SQL queries."""
"Deutsche Bank,AVP/VP QA Lead,""Leads the architecture of AI-driven automation frameworks (Playwright/Selenium) for global financial platforms. Responsible for strategic risk management, leading senior engineering squads, and reporting quality metrics to executive stakeholders."""
"TCS,Playwright Automation Lead,""Develops end-to-end automation scripts using Playwright and JavaScript/TypeScript. Focuses on next-generation web automation, API validation, and integrating automated delivery into CI/CD pipelines."""
"Kimberly-Clark,QA Senior Engineer,""Drives the QA lifecycle by implementing rigorous automated frameworks for global consumer-facing digital products. Ensures product stability through extensive regression testing and oversees successful market deployment."""
"Accion Labs,Senior QA Engineer,""Engineers scalable automation frameworks using Playwright and REST Assured for high-growth digital product architectures. Responsibilities include mentoring junior testers and scaling complex UI and backend verification processes."""
"Rockwell Automation,QA Lead Engineer - AI,""Leads AI-focused testing procedures and conducts detailed analysis of high-tech product specifications. Responsible for managing risks and ensuring AI-integrated products meet all quality benchmarks before market release."""
"Wolters Kluwer,Sr. Test Automation Engineer,""Develops and maintains robust automation frameworks using Selenium with Java or JavaScript. Responsible for creating test plans and ensuring high-quality software releases across various functional applications."""
"ITC Infotech,Senior QA - Cloud,""Oversees quality assurance processes for cloud-based enterprise solutions. Duties include planning test activities, tracking defects through resolution, and maintaining high reliability standards for end-user satisfaction."""
"Pitney Bowes,Sr. QA Software Engineer,""Implements complex testing procedures and modifies strategies based on dynamic Agile requirements. Works within cross-functional teams to identify defects and ensure software meets stringent security and quality standards."""
"TeamViewer,Sr. Test Automation Engineer,""Creates comprehensive automated test plans and troubleshoot critical quality issues in real-time. Responsible for contributing to architectural decisions and communicating technical impact to stakeholders to improve overall user experience."""
